serve.ts(20,1): error TS2339: Property 'dir' does not exist on type 'ImportMeta'.
serve.ts(37,1): error TS2868: Cannot find name 'Bun'. Do you need to install type definitions for Bun? Try `npm i --save-dev @types/bun` and then add 'bun' to the types field in your tsconfig.
serve.ts(39,1): error TS2868: Cannot find name 'Bun'. Do you need to install type definitions for Bun? Try `npm i --save-dev @types/bun` and then add 'bun' to the types field in your tsconfig.
serve.ts(42,1): error TS7006: Parameter 'req' implicitly has an 'any' type.
serve.ts(45,1): error TS2868: Cannot find name 'Bun'. Do you need to install type definitions for Bun? Try `npm i --save-dev @types/bun` and then add 'bun' to the types field in your tsconfig.
serve.ts(56,1): error TS2868: Cannot find name 'Bun'. Do you need to install type definitions for Bun? Try `npm i --save-dev @types/bun` and then add 'bun' to the types field in your tsconfig.
src/components/CustomerLifecycleDiagram.test.tsx(1,1): error TS2307: Cannot find module 'bun:test' or its corresponding type declarations.
src/components/CustomerLifecycleDiagram.test.tsx(12,1): error TS2339: Property 'dir' does not exist on type 'ImportMeta'.
src/components/RoiCalculator.tsx(324,1): error TS2322: Type '"" | "none" | "has"' is not assignable to type '"none" | "has"'.
src/components/RoiCalculator.tsx(355,1): error TS2322: Type '"" | "none" | "has"' is not assignable to type '"none" | "has"'.
src/components/RoiCalculator.tsx(524,1): error TS7053: Element implicitly has an 'any' type because expression of type '"" | "PestControl" | "Plumbers" | "Electricians" | "HVAC" | "Roofers"' can't be used to index type '{ readonly Plumbers: { readonly label: "Plumbers"; readonly callsPerTruckPerMonth: 60; }; readonly Electricians: { readonly label: "Electricians"; readonly callsPerTruckPerMonth: 30; }; readonly HVAC: { ...; }; readonly Roofers: { ...; }; readonly PestControl: { ...; }; }'.
src/components/VoiceDemo.tsx(154,1): error TS2322: Type 'string[]' is not assignable to type '"assistant.started" | "conversation-update" | "end-of-call-report" | "function-call" | "hang" | "language-changed" | "language-change-detected" | "model-output" | "phone-call-control" | ... 17 more ... | undefined'.
src/hooks/useVoiceDemo.ts(170,1): error TS2322: Type 'string[]' is not assignable to type '"assistant.started" | "conversation-update" | "end-of-call-report" | "function-call" | "hang" | "language-changed" | "language-change-detected" | "model-output" | "phone-call-control" | ... 17 more ... | undefined'.
src/server/appointmentLifecycle/calendarBookingSmoke.ts(151,1): error TS2783: 'startIso' is specified more than once, so this usage will be overwritten.
src/server/appointmentLifecycle/calendarCapabilityProbe.ts(185,1): error TS2322: Type 'GoogleCalendarResource' is not assignable to type 'string | T'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(129,1): error TS2741: Property 'attendeeCount' is missing in type '{ failureStage: "recheck_failed"; }' but required in type 'Pick<BookingProviderProbeResult, "failureStage" | "httpStatus" | "googleErrorReason" | "sendUpdatesUsed" | "attendeeCount" | "googleErrorMessage" | "eventStartIso" | "eventEndIso">'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(171,1): error TS2322: Type 'string | undefined' is not assignable to type 'string | null'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(188,1): error TS2322: Type 'string | undefined' is not assignable to type 'string | null'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(284,1): error TS2345: Argument of type '{ start: string; includeAttendee: boolean; attendeeEmail?: string | undefined; cleanup?: boolean | undefined; now?: Date | undefined; }' is not assignable to parameter of type '{ start: string; phone: string; includeAttendee: boolean; attendeeEmail?: string | undefined; now?: Date | undefined; }'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(343,1): error TS2322: Type 'string | undefined' is not assignable to type 'string | null'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(455,1): error TS2322: Type '{ smokeUses: "createConsultationEvent"; handsetUses: string; inputDiff: { field: string; smoke: string; handset: string; }[]; }' is not assignable to type '{ smokeUses: "createConsultationEvent"; handsetUses: "bookProviderSlot → bookConsultation → createConsultationEvent → processCalendarEvent"; inputDiff: { field: string; smoke: string; handset: string; }[]; }'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(472,1): error TS2322: Type 'Date | undefined' is not assignable to type 'Date'.
src/server/appointmentLifecycle/googleBookingProviderProbe.ts(503,1): error TS2322: Type '{ smokeUses: "createConsultationEvent"; handsetUses: string; inputDiff: { field: string; smoke: string; handset: string; }[]; }' is not assignable to type '{ smokeUses: "createConsultationEvent"; handsetUses: "bookProviderSlot → bookConsultation → createConsultationEvent → processCalendarEvent"; inputDiff: { field: string; smoke: string; handset: string; }[]; }'.
src/server/appointmentLifecycle/googleCalendar.ts(1,1): error TS6133: 'createSign' is declared but its value is never read.
src/server/appointmentLifecycle/googleCalendar.ts(8,1): error TS6133: 'GOOGLE_MEET_CONFERENCE_SOLUTION_TYPE' is declared but its value is never read.
src/server/appointmentLifecycle/googleCalendar.ts(497,1): error TS6133: 'durationMinutes' is declared but its value is never read.
src/server/appointmentLifecycle/googleCalendar.ts(702,1): error TS6133: 'insertCalendarEvent' is declared but its value is never read.
src/server/appointmentLifecycle/googleCalendarAuth.ts(195,1): error TS2339: Property 'reason' does not exist on type 'GoogleOAuthRefreshResult'.
src/server/appointmentLifecycle/googleCalendarAuth.ts(198,1): error TS2339: Property 'detail' does not exist on type 'GoogleOAuthRefreshResult'.
src/server/appointmentLifecycle/googleCalendarAuth.ts(198,1): error TS2339: Property 'reason' does not exist on type 'GoogleOAuthRefreshResult'.
src/server/appointmentLifecycle/googleCredentials.ts(227,1): error TS2339: Property 'message' does not exist on type 'string | { code?: number | undefined; message?: string | undefined; errors?: { reason?: string | undefined; message?: string | undefined; }[] | undefined; }'.
src/server/appointmentLifecycle/googleProviderProbe.ts(114,1): error TS2345: Argument of type 'Record<string, unknown>' is not assignable to parameter of type 'GoogleCalendarApiEvent'.
